Year,Admission Year,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Metric,Sex,Value
2012/13,2012,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Male,55316
2012/13,2012,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Male,17794
2012/13,2012,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Male,.
2012/13,2012,All codes,All admissions,All admissions,Number of admissions,Female,5452315
2012/13,2012,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Female,723009
2012/13,2012,C00-D48,All cancers,All cancers,Number of admissions,Female,791327
2012/13,2012,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Female,273740
2012/13,2012,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Female,371044
2012/13,2012,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Female,669566
2012/13,2012,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Female,37739
2012/13,2012,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Female,5755
2012/13,2012,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Female,8273
2012/13,2012,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Female,794
2012/13,2012,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Female,6776
2012/13,2012,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Female,17928
2012/13,2012,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Female,4481
2012/13,2012,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Female,5550
2012/13,2012,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Female,10624
2012/13,2012,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Female,4233
2012/13,2012,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Female,16426
2012/13,2012,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Female,2648
2012/13,2012,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Female,60619
2012/13,2012,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Female,82845
2012/13,2012,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,122926
2012/13,2012,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,89913
2012/13,2012,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,17121
2012/13,2012,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,53185
2012/13,2012,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Female,2745
2012/13,2012,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Female,3635
2012/13,2012,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,10870
2012/13,2012,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,18216
2012/13,2012,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,3647
2012/13,2012,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Female,76686
2012/13,2012,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Female,47796
2012/13,2012,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Female,11578
2011/12,2011,All codes,All admissions,All admissions,Number of admissions,,10164003
2011/12,2011,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,,1562569
2011/12,2011,C00-D48,All cancers,All cancers,Number of admissions,,1532698
2011/12,2011,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,,490804
2011/12,2011,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,,893156
2011/12,2011,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,,1362664
2011/12,2011,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,,84241
2011/12,2011,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,,20109
2011/12,2011,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,,28923
2011/12,2011,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,,4586
2011/12,2011,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,,7083
2011/12,2011,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,,83963
2011/12,2011,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,,14632
2011/12,2011,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,,20124
2011/12,2011,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,,24531
2011/12,2011,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,,8963
2011/12,2011,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,,40136
2011/12,2011,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,,5508
2011/12,2011,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,,108359
2011/12,2011,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,,145419
2011/12,2011,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,265235
2011/12,2011,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,277560
2011/12,2011,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,,41486
2011/12,2011,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,105488
2011/12,2011,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,,12067
2011/12,2011,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,,9366
2011/12,2011,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,,22596
2011/12,2011,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,,30389
2011/12,2011,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,,5732
2011/12,2011,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,,118410
2011/12,2011,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,,65608
2011/12,2011,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,,12055
2011/12,2011,All codes,All admissions,All admissions,Number of admissions,Male,4759706
2011/12,2011,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Male,859215
2011/12,2011,C00-D48,All cancers,All cancers,Number of admissions,Male,750509
2011/12,2011,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Male,246349
2011/12,2011,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Male,514783
2011/12,2011,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Male,671345
2011/12,2011,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Male,47124
2011/12,2011,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Male,14501
2011/12,2011,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Male,20574
2011/12,2011,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Male,3722
2011/12,2011,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Male,.
2011/12,2011,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Male,63567
2011/12,2011,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Male,9595
2011/12,2011,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Male,14510
2011/12,2011,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Male,12698
2011/12,2011,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Male,3938
2011/12,2011,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Male,23681
2011/12,2011,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Male,2934
2011/12,2011,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Male,52881
2011/12,2011,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Male,74755
2011/12,2011,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,145316
2011/12,2011,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,184963
2011/12,2011,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,24327
2011/12,2011,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,52534
2011/12,2011,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Male,9302
2011/12,2011,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Male,6011
2011/12,2011,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,11416
2011/12,2011,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,13134
2011/12,2011,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,2249
2011/12,2011,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Male,48495
2011/12,2011,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Male,16988
2011/12,2011,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Male,.
2011/12,2011,All codes,All admissions,All admissions,Number of admissions,Female,5404297
2011/12,2011,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Female,703354
2011/12,2011,C00-D48,All cancers,All cancers,Number of admissions,Female,782189
2011/12,2011,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Female,244455
2011/12,2011,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Female,378373
2011/12,2011,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Female,691319
2011/12,2011,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Female,37117
2011/12,2011,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Female,5608
2011/12,2011,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Female,8349
2011/12,2011,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Female,864
2011/12,2011,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Female,7083
2011/12,2011,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Female,20396
2011/12,2011,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Female,5037
2011/12,2011,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Female,5614
2011/12,2011,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Female,11833
2011/12,2011,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Female,5025
2011/12,2011,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Female,16455
2011/12,2011,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Female,2574
2011/12,2011,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Female,55478
2011/12,2011,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Female,70664
2011/12,2011,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,119919
2011/12,2011,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,92597
2011/12,2011,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,17159
2011/12,2011,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,52954
2011/12,2011,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Female,2765
2011/12,2011,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Female,3355
2011/12,2011,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,11180
2011/12,2011,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,17255
2011/12,2011,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,3483
2011/12,2011,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Female,69915
2011/12,2011,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Female,48620
2011/12,2011,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Female,12055
2010/11,2010,All codes,All admissions,All admissions,Number of admissions,,
2010/11,2010,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,,1534176
2010/11,2010,C00-D48,All cancers,All cancers,Number of admissions,,1455823
2010/11,2010,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,,490845
2010/11,2010,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,,886996
2010/11,2010,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,,1289163
2010/11,2010,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,,81162
2010/11,2010,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,,19715
2010/11,2010,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,,29528
2010/11,2010,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,,4820
2010/11,2010,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,,6504
2010/11,2010,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,,81663
2010/11,2010,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,,13813
2010/11,2010,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,,20368
2010/11,2010,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,,23553
2010/11,2010,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,,9127
2010/11,2010,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,,37198
2010/11,2010,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,,6130
2010/11,2010,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,,112790
2010/11,2010,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,,141899
2010/11,2010,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,256619
2010/11,2010,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,276670
2010/11,2010,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,,41840
2010/11,2010,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,103388
2010/11,2010,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,,11626
2010/11,2010,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,,8527
2010/11,2010,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,,22885
2010/11,2010,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,,28285
2010/11,2010,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,,5378
2010/11,2010,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,,113171
2010/11,2010,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,,64545
2010/11,2010,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,,12972
2010/11,2010,All codes,All admissions,All admissions,Number of admissions,Male,4666529
2010/11,2010,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Male,843901
2010/11,2010,C00-D48,All cancers,All cancers,Number of admissions,Male,709061
2010/11,2010,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Male,245817
2010/11,2010,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Male,507991
2010/11,2010,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Male,633502
2010/11,2010,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Male,45891
2010/11,2010,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Male,13986
2010/11,2010,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Male,21222
2010/11,2010,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Male,3953
2010/11,2010,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Male,.
2010/11,2010,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Male,61938
2010/11,2010,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Male,9021
2010/11,2010,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Male,14560
2010/11,2010,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Male,13103
2010/11,2010,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Male,4041
2010/11,2010,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Male,20986
2010/11,2010,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Male,3284
2010/11,2010,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Male,55192
2010/11,2010,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Male,72975
2010/11,2010,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,139779
2010/11,2010,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,184240
2010/11,2010,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,24938
2010/11,2010,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,51308
2010/11,2010,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Male,8894
2010/11,2010,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Male,5541
2010/11,2010,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,11658
2010/11,2010,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,11957
2010/11,2010,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,2105
2010/11,2010,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Male,46246
2010/11,2010,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Male,17079
2010/11,2010,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Male,.
2010/11,2010,All codes,All admissions,All admissions,Number of admissions,Female,5346234
2010/11,2010,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Female,690275
2010/11,2010,C00-D48,All cancers,All cancers,Number of admissions,Female,746762
2010/11,2010,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Female,245028
2010/11,2010,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Female,379005
2010/11,2010,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Female,655661
2010/11,2010,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Female,35271
2010/11,2010,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Female,5729
2010/11,2010,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Female,8306
2010/11,2010,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Female,867
2010/11,2010,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Female,6500
2010/11,2010,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Female,19725
2010/11,2010,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Female,4792
2010/11,2010,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Female,5808
2010/11,2010,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Female,10450
2010/11,2010,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Female,5086
2010/11,2010,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Female,16212
2010/11,2010,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Female,2846
2010/11,2010,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Female,57598
2010/11,2010,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Female,68924
2010/11,2010,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,116840
2010/11,2010,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,92430
2010/11,2010,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,16902
2010/11,2010,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,52080
2010/11,2010,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Female,2732
2010/11,2010,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Female,2986
2010/11,2010,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,11227
2010/11,2010,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,16328
2010/11,2010,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,3273
2010/11,2010,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Female,66925
2010/11,2010,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Female,47466
2010/11,2010,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Female,12972
2009/10,2009,All codes,All admissions,All admissions,Number of admissions,,9742483
2009/10,2009,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,,1493491
2009/10,2009,C00-D48,All cancers,All cancers,Number of admissions,,1415100
2009/10,2009,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,,453196
2009/10,2009,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,,877906
2009/10,2009,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,,1242095
2009/10,2009,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,,82867
2009/10,2009,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,,18808
2009/10,2009,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,,30623
2009/10,2009,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,,4728
2009/10,2009,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,,6950
2009/10,2009,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,,83777
2009/10,2009,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,,13891
2009/10,2009,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,,21155
2009/10,2009,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,,23186
2009/10,2009,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,,10084
2009/10,2009,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,,34444
2009/10,2009,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,,6124
2009/10,2009,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,,104440
2009/10,2009,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,,120820
2009/10,2009,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,249615
2009/10,2009,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,282370
2009/10,2009,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,,41318
2009/10,2009,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,100582
2009/10,2009,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,,11790
2009/10,2009,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,,7738
2009/10,2009,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,,23596
